staff,ID,Name,Type,Category,image url,description,TAG,Googlemap
tae,R015,Wattana Panich,Restaurant,Street Food,,40-year-old giant pot of beef stew simmered for decades.,"Hearty, Savory, Traditional",https://maps.app.goo.gl/z61BnWpxGRM53dck7
Peach,R016,Kuay Jab Mr. Joe,Restaurant,Street Food,https://img.wongnai.com/p/1920x0/2021/06/17/ad0efa9505544712b33bef2fa5f57974.jpg,"A legendary Michelin Bib Gourmand roll noodle shop on Thanon Chan, open for over 50 years. Famous for crispy pork and flavorful pork innards broth with strong black pepper.","Chinese, Busy, Michelin",https://maps.app.goo.gl/uzu3tZJxRApSnu286
Peach,R017,25 Degrees Bangkok,Restaurant,Casual Dining,https://img.wongnai.com/p/1920x0/2024/11/17/ecf94523d90a4e3c8b424b19fd2891d2.jpg,"An iconic American-style burger bar in Sathorn, known for thick juicy patties on brioche buns. A long-standing Bangkok favorite with a retro diner vibe.","Western, Chill, DateNight",https://maps.app.goo.gl/oUGqnFhkJ5sUSRJe6
Peach,R018,Tuang Dim Sum,Restaurant,Street Food,https://img.wongnai.com/p/1920x0/2021/12/04/a2710a73aa6b4a02884fc77c92e99f8c.jpg,"A beloved old-school dim sum shop on Charoen Krung, famous for thin-skinned har gao, juicy shrimp shumai, and crispy taro puffs. Opens early morning.","Chinese, Busy, Local",https://maps.app.goo.gl/zG23iM4BwJBpTub29
Peach,R019,Moo Krob Nai Sai,Restaurant,Street Food,https://img.wongnai.com/p/1920x0/2024/06/15/75d0d86be8a64b7699ccd57cd9a442e9.jpg,"A well-known crispy pork shop in Pracha Chuen area serving authentic Thai-Chinese style crispy pork belly with rice. Simple, satisfying, and budget-friendly.","Chinese, Casual, Local",https://maps.app.goo.gl/ULEBrQJL3d9xF8dK8
Peach,R020,Khao Tom Pla Kimpo,Restaurant,Street Food,https://img.wongnai.com/p/1920x0/2024/05/04/9d3473cec9954422923268d058cdd6c6.jpg,"A traditional Thai rice porridge shop specializing in fish congee with silky smooth broth, fish balls, and tofu. A comforting late-night or early morning meal.","Thai, Chill, ComfortFood",https://maps.app.goo.gl/MFMatu46jvM4UPys5
Peach,R021,Heng Chun Seng,Restaurant,Casual Dining,https://img.wongnai.com/p/1920x0/2023/03/25/22a0f96ef3254638b09ce16d174ae247.jpg,"A classic Thai-Chinese hot pot restaurant serving old-style charcoal steamboat with assorted offal, meatballs, and greens. Authentic old Bangkok dining experience.","Chinese, Energetic, Heritage",https://maps.app.goo.gl/crvrgRTTMebxfW2TA
Peach,R022,Kai Thot Che Ki Soi Polo,Restaurant,Street Food,https://img.wongnai.com/p/1920x0/2024/08/04/1070f518a64e4a81b5312305e006c79a.jpg,A legendary Polo area restaurant famous for golden crispy fried chicken paired with papaya salad and spicy Isaan dishes. A must-try Bangkok street food institution.,"Thai, Energetic, Iconic",https://maps.app.goo.gl/cmaJnuxjRRWLfa5B8
Peach,R023,Baan Phueng Chom,Restaurant,Casual Dining,https://img.wongnai.com/p/1920x0/2022/02/06/d524cb68758a492dae6d0c2aeea6eed4.jpg,"A riverside Thai restaurant known for upscale-casual Thai cuisine including noodle glass salads, wagyu beef, and creative Thai fusion dishes in a relaxed setting.","Thai, Chill, DateNight",https://maps.app.goo.gl/hUw5qgQrvVm7UGKh8
Peach,R024,Boon Tong Kiat Singapore Chicken,Restaurant,Casual Dining,https://img.wongnai.com/p/1920x0/2022/03/27/519182cad6a641bb808003b48a65e1f1.jpg,"Bangkok's most famous Singaporean Hainanese chicken rice, serving silky steamed chicken with fragrant oily rice, ginger sauce, and dark soy. Always crowded.","Asian, Busy, Iconic",https://maps.app.goo.gl/4WxNALx94tmkraZK8
Peach,R025,Ann Kuay Teow Kua Gai,Restaurant,Street Food,https://img.wongnai.com/p/1920x0/2024/04/11/7adbb6cab996408ba8a27eea2d5f28b4.jpg,"A popular stir-fried noodle shop serving Thai-style wok-charred flat noodles with chicken, egg, and crispy pork. Known for the perfect wok hei smoky flavor.","Thai, Energetic, Local",https://maps.app.goo.gl/mKwQUzChN94o1BxK6
Peach,A016,SEA LIFE Bangkok Ocean World,Attraction,Aquarium,https://www.orientalescape.com/images/attraction/bkk-siamoceanworld01.jpg,"Bangkok's largest indoor aquarium located inside Siam Paragon. Features underwater tunnels, shark tanks, penguin zones, and interactive marine exhibits. Perfect for families and couples.","Aquarium, Family, Indoor",https://maps.app.goo.gl/UBYVHUgo2Cxzc6gL6
Peach,A017,Asiatique The Riverfront,Attraction,Market,https://www.ananda.co.th/blog/thegenc/wp-content/uploads/2024/08/%E0%B8%94%E0%B8%B5%E0%B9%84%E0%B8%8B%E0%B8%99%E0%B9%8C%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%B1%E0%B8%87%E0%B9%84%E0%B8%A1%E0%B9%88%E0%B9%84%E0%B8%94%E0%B9%89%E0%B8%95%E0%B8%B1%E0%B9%89%E0%B8%87%E0%B8%8A%E0%B8%B7%E0%B9%88%E0%B8%AD-2024-08-11T202637.103.png,"A large open-air riverside night market and entertainment complex on the Chao Phraya River. Features shopping, dining, live shows, and a giant Ferris wheel. Best visited at night.","Market, Energetic, Riverside",https://maps.app.goo.gl/cCrHysQZnQ3NaokW6
Peach,A018,Klong Bang Luang Floating Market,Attraction,Market,,"A hidden old Bangkok canal community famous for traditional long-tail boat rides, local art galleries, and a peaceful glimpse into vintage Bangkok life.","Market, Peaceful, HiddenGem",https://maps.app.goo.gl/tUQoxW6bAiFnxJbu8
Peach,A019,Bangkok Art and Culture,Attraction,Museum,,"Bangkok's leading contemporary art museum near Siam BTS. A multi-floor circular gallery hosting rotating exhibitions of Thai and international art, photography, and installations. Free entry.","Museum, Creative, Cultural",https://maps.app.goo.gl/fGrrRKARmBB96ZsX9
Peach,A020,Lumpini Park,Attraction,Park,,"Bangkok's most beloved urban green space in the heart of the city. Popular for morning exercise, paddle boating, and sunset walks. Home to monitor lizards and a relaxing city escape.","Park, Chill, Local",https://maps.app.goo.gl/eZz6Zqv2HrmYMs4Q9
Peach,A021,Wat Phra Kaew,Attraction,Temple,,"Thailand's most sacred temple and royal palace complex. Home to the revered Emerald Buddha statue. A must-visit icon representing Thai history, architecture, and spirituality.","Temple, Majestic, Iconic",https://maps.app.goo.gl/Kvxt74Vd2rpCvGza9
Peach,A022,Yaowarat,Attraction,Neighborhood,,"Bangkok's vibrant Chinatown packed with neon signs, street food stalls, gold shops, and Chinese-Thai heritage. Best experienced at night when the energy peaks.","Neighborhood, Energetic, StreetFood",https://maps.app.goo.gl/NTQf4oS5NXHDR8k59
Peach,A023,Wang Lang Pier,Attraction,Neighborhood,,A lively riverside pier on the Thonburi side serving as a gateway to local markets and Siriraj Hospital area. Popular for cheap eats and catching Chao Phraya Express Boats.,"Neighborhood, Local, Riverside",https://maps.app.goo.gl/xTRSvNFTvgrpo1g69
Peach,A024,Wang Lang Market,Attraction,Market,,"A dense and chaotic local street market near Wang Lang pier. Famous for affordable Thai street food, clothing, and everyday goods. Beloved by locals and adventurous tourists alike.","Market, Busy, Local",https://maps.app.goo.gl/cQfdTDaocMtpqHqS9
Peach,A025,Talat Noi,Attraction,Neighborhood,,"One of Bangkok's oldest riverside neighborhoods turned creative district. Known for colorful street art murals, old Chinese shophouses, indie cafes, and a thriving art scene.","Neighborhood, Hip, Photogenic",https://maps.app.goo.gl/bv6KQq1Np2LzMBdr9
Nine,R026,Prachak Roasted Duck,Restaurant,Street Food,,Famous roasted duck in Chinatown with crispy skin and rich sauce,"Chinese, Casual, Iconic",https://maps.app.goo.gl/fAhtWtKDdMobxzFP6
Nine,R027,Krua Sa Ros Jad,Restaurant,Casual Dining,,Authentic Thai restaurant with bold and spicy flavors loved by locals,"Thai, Energetic, Authentic",https://maps.app.goo.gl/ft6hcgKp9uA6jQsH7
Nine,R028,On Lok Yun,Restaurant,Cafe,,Vintage breakfast spot serving kaya toast eggs and Thai coffee,"Cafe, Chill, Heritage",https://maps.app.goo.gl/Gr8VE9FiRTa47HJA7
Nine,R029,Si Morakot,Restaurant,Street Food,,Crispy pork rice with signature green gravy sauce,"Chinese, Casual, Local",https://maps.app.goo.gl/p85519ns249v3Ahw8
Nine,R030,Rung Rueang Pork Noodle,Restaurant,Street Food,,Michelin recommended pork noodle soup with rich broth,"Thai, Busy, Michelin",https://maps.app.goo.gl/3JDjH5fh5rFXbYhn8
Nine,R031,Nhong Rimklong,Restaurant,Street Food,,Street food beside railway known for intense wok flavor,"Thai, Energetic, HiddenGem",https://maps.app.goo.gl/8zTVKyd87WZakZLe9
Nine,A026,Ladmayom Floating Market,Attraction,Market,,Authentic floating market with local food and less tourists,"Market, Peaceful, Local",https://maps.app.goo.gl/uZCzaMXG92r8ZB8h7
Nine,A027,Kwan Riam Floating Market,Attraction,Market,,Cultural floating market connecting two temples by boat,"Market, Cultural, Local",https://maps.app.goo.gl/yRG6sqpeCTNvpxVJ9
Nine,A028,Taling Chan Floating Market,Attraction,Market,,Small riverside market with seafood and boat tours,"Market, Chill, Local",https://maps.app.goo.gl/FWejqo1bTa61bEva8
Nine,A029,Wang Lang Market,Attraction,Market,,Popular market with trendy snacks and clothes near hospital,"Market, Busy, Local",https://maps.app.goo.gl/ybGvvpsjSRsL8igZ9
Nine,A030,Chao Phraya Sky Park,Attraction,Park,,Sky park on old bridge with river view and sunset vibes,"Park, Scenic, Photogenic",https://maps.app.goo.gl/v7iJmzUme3y2ju5fA
Nine,A031,Forest Learning Center,Attraction,Park,,Urban forest learning space focused on sustainability,"Park, Peaceful, Educational",https://maps.app.goo.gl/ZTV8drgYN8yw31tm6
Nine,A032,Harajuku Thailand,Attraction,Shopping,,Japanese style street with shops and cosplay atmosphere,"Shopping, Hip, Photogenic",https://maps.app.goo.gl/AWHycWESK1amSN9J9
Nine,A033,LHONG 1919,Attraction,Cultural Site,,Historic Chinese riverside mansion turned into cultural space,"CulturalSite, Hip, Heritage",https://maps.app.goo.gl/7jxbESkZUUVwayk16
Nine,A034,Wat Saket,Attraction,Temple,,Golden Mount temple with panoramic Bangkok city view,"Temple, Peaceful, Panoramic",https://maps.app.goo.gl/EBQ3pZCmB2gm16v88
Nine,A035,Santi Chai Prakan Park,Attraction,Park,,Riverside park with sunset views and live performances,"Park, Chill, Scenic",https://maps.app.goo.gl/TZ3FDm9Xir2q1tp97
Nine,A036,Princess Mother Memorial Park,Attraction,Park,,Peaceful park with traditional Thai houses and museum,"Park, Peaceful, Cultural",https://maps.app.goo.gl/uuDSrrFEYdqsuGbu9
Nine,A037,the COMMONS Saladaeng,Attraction,Shopping,,Modern lifestyle space with cafes and creative dining spots,"Shopping, Hip, Modern",https://maps.app.goo.gl/vkDWHua3wqqvqzP26
Nine,A038,Dusit Central Park Sky Garden,Attraction,Park,,Luxury sky garden with panoramic city skyline,"Park, Modern, Scenic",https://maps.app.goo.gl/WG8e6tcWJDMoCW8N6
Nine,A039,Thaworawatthu Building,Attraction,Cultural Site,,Historic building showcasing classic Bangkok architecture,"CulturalSite, Peaceful, Heritage",https://maps.app.goo.gl/kcDsodNEBdERPfhV8
